content,cleaned_content,sentiment
I works Great!,works great,positive
Easy to use,easy use,positive
They limited my account and I don't want is happening 😭😭😭😭,limited account want happening,negative
Love to use it without having to bring my card,love use without bring card,positive
App works well,app works well,positive
Paypal is making lots of improvements and I definitely recommend. Thank you PayPal.,paypal making lots improvements definitely recommend thank paypal,positive
"The one star means zero star, because you don't qualify for any star. I just gave it one so that i can be able to post this comments This app is horrible,i purposely got MasterCard because of it, but they kept on declining it. Bunch of waste .",one star means zero star qualify star gave one able post comments app horrible purposely got mastercard kept declining bunch waste,negative
@Avue,avue,neutral
"Bad payment method and uselees app they banned my account for no reason and didn't say why and they say i can receive the money after 180 days, realy trash app and useless, i recommend no one use it and use AirTM Or any other method.",bad payment method uselees app banned account reason say say receive money days realy trash app useless recommend one use use airtm method,negative
The website works better than this app,website works better app,positive
Easy to set up,easy set,positive
A+++,,neutral
Everything runs smooth and fast.,everything runs smooth fast,neutral
Runs good!,runs good,positive
I have withdrew $100 000 using this app,withdrew using app,neutral
Well handled. Thanks.,well handled thanks,positive
"Nice app ,easy to use",nice app easy use,positive
I love this app,love app,positive
Best app ever,best app ever,positive
Every money that my company send you will hold it . I will wait 21 days to get it are you crazy ?,every money company send hold wait days get crazy,negative
I am having some issues with my number any i put my it keeps saying invalid its d app is not for nigerians,issues number put keeps saying invalid app nigerians,positive
Good app,good app,positive
"Used to work just fine, now linking bank accounts and transferring money feels like pulling teeth for some reason. Terrible.",used work fine linking bank accounts transferring money feels like pulling teeth reason terrible,positive
Amazing and fast service. I just don't like that they hold the money that I send,amazing fast service like hold money send,positive
"Full of gimmicks. I used to like PayPal, the last 20+ years, but they have made the app so full of promotions for their own gimmicky products, it's hard to simply transfer the money to your own bank. I'll be moving away from PayPal now.",full gimmicks used like paypal last years made app full promotions gimmicky products hard simply transfer money bank moving away paypal,positive
Open to fraud if account number saved,open fraud account number saved,negative
Good,good,positive
Not good,good,positive
Good,good,positive
Why. I can't login my account already nearly 4 eyes,login account already nearly eyes,neutral
good app,good app,positive
Never had to continually sign in and now I have to every time!!,never continually sign every time,neutral
Good,good,positive
CAN'T EVEN LOG IN 😔,even log,neutral
Now I am not able to attach my bank account huh what are you doing could you fix this,able attach bank account huh could fix,neutral
Bad,bad,negative
"I have used PayPal since the early 2000s and unfortunately, like its partner venmo, it is not as simple to use as other platforms I use to send funds. I am displeased with this app",used paypal since early unfortunately like partner venmo simple use platforms use send funds displeased app,negative
